"","pp","pq","qq","latitude","longitude"
"Anastasia, FL",0,0,19,29.903108,-81.400743
"Barnstable County, MA",12,0,0,41.793615,-69.994266
"Byron, WA (Big Hill at Byron Pond)",20,0,0,46.193,-119.899
"Benton, WA (Witch Hut at Bryon Pond)",17,2,0,46.192,-119.897
"College Station, TX",0,3,17,30.60044,-96.26893
"Hunterdon, NJ",16,2,1,40.539588,-74.834616
"Lincoln, CA (Sierra Pacific Logdecks)",20,0,0,38.87605,-121.29683
"Lincoln, CA (Placer County)",18,2,0,38.904465,-121.306331
"Maricopa, AZ",0,0,16,33.0736167,-111.9737667
"Wynwood, Miami, Miami-Dade County, FL",0,0,5,25.80141,-80.19909
"North Miami Beach, Miami, Miami-Dade County, FL",0,0,4,25.93315,-80.16255
"Little River, Miami, Miami-Dade County, FL",0,0,5,25.8476,-80.19255
"South Beach Miami, Miami-Dade County, FL",0,0,5,25.70785,-80.29564
"Rockville, MD",17,3,0,39.057753,-77.130547
"Salt Lake City, UT",2,11,7,40.74034564,-112.0294649
"Salt Lake, UT (Washington Park)",0,6,13,40.75962,-111.8868
"Somerset, NJ",12,3,0,40.533576,-74.586099
"Sutter-Yuba, CA",9,8,1,39.166466,-121.598446
"Cache, UT (Hyde Park)",20,0,0,41.79696,-111.82005
